period,stateId,stateDescription,producertypeid,producerTypeDescription,energysourceid,energySourceDescription,capability,capability-units
2024,AK,Alaska,EU,Electric Utilities,ALL,All,2638.9,megawatts
2024,AK,Alaska,EU,Electric Utilities,BAT,Battery,131.7,megawatts
2024,AK,Alaska,EU,Electric Utilities,COL,Coal,97.1,megawatts
2024,AK,Alaska,EU,Electric Utilities,HYC,Hydroelectric,431.1,megawatts
2024,AK,Alaska,EU,Electric Utilities,NG,Natural Gas,1236.6,megawatts
2024,AK,Alaska,EU,Electric Utilities,NGCC,Natural Gas - CC,374.6,megawatts
2024,AK,Alaska,EU,Electric Utilities,NGGT,Natural Gas - GT,687.6,megawatts
2024,AK,Alaska,EU,Electric Utilities,NGIC,Natural Gas - IC,174.4,megawatts
2024,AK,Alaska,EU,Electric Utilities,OT,Other,3.1,megawatts
2024,AK,Alaska,EU,Electric Utilities,PET,Petroleum,698.5,megawatts
2024,AK,Alaska,EU,Electric Utilities,PETGT,Petroleum - GT,237.0,megawatts
2024,AK,Alaska,EU,Electric Utilities,PETIC,Petroleum - IC,410.5,megawatts
2024,AK,Alaska,EU,Electric Utilities,PETOTH,Petroleum - OTH,51.0,megawatts
2024,AK,Alaska,EU,Electric Utilities,SOL,Solar,1.7,megawatts
2024,AK,Alaska,EU,Electric Utilities,SOLPV,Solar - PV,1.7,megawatts
2024,AK,Alaska,EU,Electric Utilities,WND,Wind,39.1,megawatts
2024,AK,Alaska,IPP,Independent Power Producers,ALL,All,214.5,megawatts
2024,AK,Alaska,IPP,Independent Power Producers,COL,Coal,70.8,megawatts
2024,AK,Alaska,IPP,Independent Power Producers,HYC,Hydroelectric,45.2,megawatts
2024,AK,Alaska,IPP,Independent Power Producers,NG,Natural Gas,20.9,megawatts
2024,AK,Alaska,IPP,Independent Power Producers,NGGT,Natural Gas - GT,20.9,megawatts
2024,AK,Alaska,IPP,Independent Power Producers,OBM,Other Biomass,7.0,megawatts
2024,AK,Alaska,IPP,Independent Power Producers,PET,Petroleum,44.7,megawatts
2024,AK,Alaska,IPP,Independent Power Producers,PETIC,Petroleum - IC,44.7,megawatts
2024,AK,Alaska,IPP,Independent Power Producers,SOL,Solar,6.0,megawatts
2024,AK,Alaska,IPP,Independent Power Producers,SOLPV,Solar - PV,6.0,megawatts
2024,AK,Alaska,IPP,Independent Power Producers,WND,Wind,19.9,megawatts
2024,AK,Alaska,TOT,All sectors,ALL,All,2853.4,megawatts
2024,AK,Alaska,TOT,All sectors,BAT,Battery,131.7,megawatts
2024,AK,Alaska,TOT,All sectors,COL,Coal,167.9,megawatts
2024,AK,Alaska,TOT,All sectors,HYC,Hydroelectric,476.3,megawatts
2024,AK,Alaska,TOT,All sectors,NG,Natural Gas,1257.5,megawatts
2024,AK,Alaska,TOT,All sectors,NGCC,Natural Gas - CC,374.6,megawatts
2024,AK,Alaska,TOT,All sectors,NGGT,Natural Gas - GT,708.5,megawatts
2024,AK,Alaska,TOT,All sectors,NGIC,Natural Gas - IC,174.4,megawatts
2024,AK,Alaska,TOT,All sectors,OBM,Other Biomass,7.0,megawatts
2024,AK,Alaska,TOT,All sectors,OT,Other,3.1,megawatts
2024,AK,Alaska,TOT,All sectors,PET,Petroleum,743.2,megawatts
2024,AK,Alaska,TOT,All sectors,PETGT,Petroleum - GT,237.0,megawatts
2024,AK,Alaska,TOT,All sectors,PETIC,Petroleum - IC,455.2,megawatts
2024,AK,Alaska,TOT,All sectors,PETOTH,Petroleum - OTH,51.0,megawatts
2024,AK,Alaska,TOT,All sectors,SOL,Solar,7.7,megawatts
2024,AK,Alaska,TOT,All sectors,SOLPV,Solar - PV,7.7,megawatts
2024,AK,Alaska,TOT,All sectors,WND,Wind,59.0,megawatts
2024,AL,Alabama,EU,Electric Utilities,ALL,All,22836.9,megawatts
2024,AL,Alabama,EU,Electric Utilities,COL,Coal,4728.0,megawatts
2024,AL,Alabama,EU,Electric Utilities,HYC,Hydroelectric,3290.6,megawatts
2024,AL,Alabama,EU,Electric Utilities,NG,Natural Gas,9284.0,megawatts
2024,AL,Alabama,EU,Electric Utilities,NGCC,Natural Gas - CC,4442.7,megawatts
2024,AL,Alabama,EU,Electric Utilities,NGGT,Natural Gas - GT,3120.2,megawatts
2024,AL,Alabama,EU,Electric Utilities,NGOTH,Natural Gas - OTH,25.0,megawatts
2024,AL,Alabama,EU,Electric Utilities,NGST,Natural Gas - ST,1696.1,megawatts
2024,AL,Alabama,EU,Electric Utilities,NUC,Nuclear,5452.7,megawatts
2024,AL,Alabama,EU,Electric Utilities,PET,Petroleum,33.6,megawatts
2024,AL,Alabama,EU,Electric Utilities,PETGT,Petroleum - GT,16.0,megawatts
2024,AL,Alabama,EU,Electric Utilities,PETIC,Petroleum - IC,17.6,megawatts
2024,AL,Alabama,EU,Electric Utilities,SOL,Solar,48.0,megawatts
2024,AL,Alabama,EU,Electric Utilities,SOLPV,Solar - PV,48.0,megawatts
2024,AL,Alabama,IPP,Independent Power Producers,ALL,All,8158.8,megawatts
2024,AL,Alabama,IPP,Independent Power Producers,BAT,Battery,1.0,megawatts
2024,AL,Alabama,IPP,Independent Power Producers,NG,Natural Gas,6915.6,megawatts
2024,AL,Alabama,IPP,Independent Power Producers,NGCC,Natural Gas - CC,6695.6,megawatts
2024,AL,Alabama,IPP,Independent Power Producers,NGGT,Natural Gas - GT,164.6,megawatts
2024,AL,Alabama,IPP,Independent Power Producers,NGST,Natural Gas - ST,55.4,megawatts
2024,AL,Alabama,IPP,Independent Power Producers,OBM,Other Biomass,6.4,megawatts
2024,AL,Alabama,IPP,Independent Power Producers,OOG,Other Gas,3.8,megawatts
2024,AL,Alabama,IPP,Independent Power Producers,PET,Petroleum,9.0,megawatts
2024,AL,Alabama,IPP,Independent Power Producers,PETIC,Petroleum - IC,9.0,megawatts
2024,AL,Alabama,IPP,Independent Power Producers,SOL,Solar,615.5,megawatts
2024,AL,Alabama,IPP,Independent Power Producers,SOLPV,Solar - PV,615.5,megawatts
2024,AL,Alabama,IPP,Independent Power Producers,WOO,Wood,607.5,megawatts
2024,AL,Alabama,TOT,All sectors,ALL,All,30995.7,megawatts
2024,AL,Alabama,TOT,All sectors,BAT,Battery,1.0,megawatts
2024,AL,Alabama,TOT,All sectors,COL,Coal,4728.0,megawatts
2024,AL,Alabama,TOT,All sectors,HYC,Hydroelectric,3290.6,megawatts
2024,AL,Alabama,TOT,All sectors,NG,Natural Gas,16199.6,megawatts
