gid_0,gid_1,name_0,name_1,indicator_name,weight,score,score_ranked,cat,label,un_region,wb_region
AFG,AFG.2_1,Afghanistan,Badghis,bws,Ind,5,92.5,4,Extremely High (>80%),Asia,South Asia
AFG,AFG.8_1,Afghanistan,Faryab,bws,Ind,5,92.5,4,Extremely High (>80%),Asia,South Asia
ARE,ARE.1_1,United Arab Emirates,Abu Dhabi,bws,Dom,5,8,4,Extremely High (>80%),Asia,Middle East & North Africa
ARE,ARE.1_1,United Arab Emirates,Abu Dhabi,bws,Irr,5,94,4,Extremely High (>80%),Asia,Middle East & North Africa
ARE,ARE.2_1,United Arab Emirates,Ajman,bws,One,5,84,4,Extremely High (>80%),Asia,Middle East & North Africa
ARE,ARE.2_1,United Arab Emirates,Ajman,bws,Tot,5,83.5,4,Extremely High (>80%),Asia,Middle East & North Africa
ARE,ARE.2_1,United Arab Emirates,Ajman,bws,Dom,5,89,4,Extremely High (>80%),Asia,Middle East & North Africa
ARE,ARE.2_1,United Arab Emirates,Ajman,bws,Ind,5,92.5,4,Extremely High (>80%),Asia,Middle East & North Africa
ARE,ARE.2_1,United Arab Emirates,Ajman,bws,Irr,5,94,4,Extremely High (>80%),Asia,Middle East & North Africa
ARE,ARE.2_1,United Arab Emirates,Ajman,bws,Liv,5,80.5,4,Extremely High (>80%),Asia,Middle East & North Africa
ARE,ARE.3_1,United Arab Emirates,Dubai,bws,One,5,84,4,Extremely High (>80%),Asia,Middle East & North Africa
ARE,ARE.3_1,United Arab Emirates,Dubai,bws,Tot,5,83.5,4,Extremely High (>80%),Asia,Middle East & North Africa
ARE,ARE.3_1,United Arab Emirates,Dubai,bws,Dom,5,89,4,Extremely High (>80%),Asia,Middle East & North Africa
ARE,ARE.3_1,United Arab Emirates,Dubai,bws,Ind,5,92.5,4,Extremely High (>80%),Asia,Middle East & North Africa
ARE,ARE.3_1,United Arab Emirates,Dubai,bws,Irr,5,94,4,Extremely High (>80%),Asia,Middle East & North Africa
ARE,ARE.3_1,United Arab Emirates,Dubai,bws,Liv,5,80.5,4,Extremely High (>80%),Asia,Middle East & North Africa
ARE,ARE.4_1,United Arab Emirates,Fujairah,bws,One,5,84,4,Extremely High (>80%),Asia,Middle East & North Africa
ARE,ARE.4_1,United Arab Emirates,Fujairah,bws,Tot,5,83.5,4,Extremely High (>80%),Asia,Middle East & North Africa
ARE,ARE.4_1,United Arab Emirates,Fujairah,bws,Dom,5,89,4,Extremely High (>80%),Asia,Middle East & North Africa
ARE,ARE.4_1,United Arab Emirates,Fujairah,bws,Ind,5,92.5,4,Extremely High (>80%),Asia,Middle East & North Africa
ARE,ARE.4_1,United Arab Emirates,Fujairah,bws,Irr,5,94,4,Extremely High (>80%),Asia,Middle East & North Africa
ARE,ARE.4_1,United Arab Emirates,Fujairah,bws,Liv,5,80.5,4,Extremely High (>80%),Asia,Middle East & North Africa
