gid_0,gid_1,name_0,name_1,year,scenario,indicator_name,weight,score,score_ranked,cat,label,un_region,wb_region
AFG,AFG.10_1,Afghanistan,Ghor,2030,opt,bws,Dom,4.65052875,340,4,Extremely High (>80%),Asia,South Asia
AFG,AFG.10_1,Afghanistan,Ghor,2030,opt,bws,Ind,0,2797.5,0,Low (<10%),Asia,South Asia
AFG,AFG.10_1,Afghanistan,Ghor,2030,opt,bws,Irr,4.501061387,399,4,Extremely High (>80%),Asia,South Asia
AFG,AFG.10_1,Afghanistan,Ghor,2030,opt,bws,Liv,4.564909726,343,4,Extremely High (>80%),Asia,South Asia
AFG,AFG.10_1,Afghanistan,Ghor,2030,opt,bws,Tot,4.505235459,391,4,Extremely High (>80%),Asia,South Asia
AFG,AFG.10_1,Afghanistan,Ghor,2030,bau,bws,Dom,4.610267366,316,4,Extremely High (>80%),Asia,South Asia
AFG,AFG.10_1,Afghanistan,Ghor,2030,bau,bws,Ind,0,2790.5,0,Low (<10%),Asia,South Asia
AFG,AFG.10_1,Afghanistan,Ghor,2030,bau,bws,Irr,4.474909247,392,4,Extremely High (>80%),Asia,South Asia
AFG,AFG.10_1,Afghanistan,Ghor,2030,bau,bws,Liv,4.535898204,328,4,Extremely High (>80%),Asia,South Asia
AFG,AFG.10_1,Afghanistan,Ghor,2030,bau,bws,Tot,4.478814828,386,4,Extremely High (>80%),Asia,South Asia
AFG,AFG.10_1,Afghanistan,Ghor,2030,pes,bws,Dom,4.69300246,298,4,Extremely High (>80%),Asia,South Asia
AFG,AFG.10_1,Afghanistan,Ghor,2030,pes,bws,Ind,0,2798,0,Low (<10%),Asia,South Asia
AFG,AFG.10_1,Afghanistan,Ghor,2030,pes,bws,Irr,4.545477946,355,4,Extremely High (>80%),Asia,South Asia
AFG,AFG.10_1,Afghanistan,Ghor,2030,pes,bws,Liv,4.615130551,293,4,Extremely High (>80%),Asia,South Asia
AFG,AFG.10_1,Afghanistan,Ghor,2030,pes,bws,Tot,4.549946564,352,4,Extremely High (>80%),Asia,South Asia
AFG,AFG.10_1,Afghanistan,Ghor,2050,opt,bws,Dom,4.56316081,369,4,Extremely High (>80%),Asia,South Asia
AFG,AFG.10_1,Afghanistan,Ghor,2050,opt,bws,Ind,0,2821.5,0,Low (<10%),Asia,South Asia
AFG,AFG.10_1,Afghanistan,Ghor,2050,opt,bws,Irr,4.427502197,435,4,Extremely High (>80%),Asia,South Asia
AFG,AFG.10_1,Afghanistan,Ghor,2050,opt,bws,Liv,4.497271032,360,4,Extremely High (>80%),Asia,South Asia
AFG,AFG.10_1,Afghanistan,Ghor,2050,opt,bws,Tot,4.436892261,427,4,Extremely High (>80%),Asia,South Asia
AFG,AFG.10_1,Afghanistan,Ghor,2050,bau,bws,Dom,4.695934192,374,4,Extremely High (>80%),Asia,South Asia
AFG,AFG.10_1,Afghanistan,Ghor,2050,bau,bws,Ind,0,2848,0,Low (<10%),Asia,South Asia
AFG,AFG.10_1,Afghanistan,Ghor,2050,bau,bws,Irr,4.558228471,436,4,Extremely High (>80%),Asia,South Asia
AFG,AFG.10_1,Afghanistan,Ghor,2050,bau,bws,Liv,4.619884433,373,4,Extremely High (>80%),Asia,South Asia
AFG,AFG.10_1,Afghanistan,Ghor,2050,bau,bws,Tot,4.568366353,429,4,Extremely High (>80%),Asia,South Asia
AFG,AFG.10_1,Afghanistan,Ghor,2050,pes,bws,Dom,4.726062484,349,4,Extremely High (>80%),Asia,South Asia
AFG,AFG.10_1,Afghanistan,Ghor,2050,pes,bws,Ind,0,2830.5,0,Low (<10%),Asia,South Asia
AFG,AFG.10_1,Afghanistan,Ghor,2050,pes,bws,Irr,4.591649234,414,4,Extremely High (>80%),Asia,South Asia
AFG,AFG.10_1,Afghanistan,Ghor,2050,pes,bws,Liv,4.644275061,352,4,Extremely High (>80%),Asia,South Asia
AFG,AFG.10_1,Afghanistan,Ghor,2050,pes,bws,Tot,4.600218272,413,4,Extremely High (>80%),Asia,South Asia
AFG,AFG.10_1,Afghanistan,Ghor,2080,opt,bws,Dom,4.699813086,353,4,Extremely High (>80%),Asia,South Asia
AFG,AFG.10_1,Afghanistan,Ghor,2080,opt,bws,Ind,0,2840,0,Low (<10%),Asia,South Asia
AFG,AFG.10_1,Afghanistan,Ghor,2080,opt,bws,Irr,4.508722381,426,4,Extremely High (>80%),Asia,South Asia
AFG,AFG.10_1,Afghanistan,Ghor,2080,opt,bws,Liv,4.584459681,368,4,Extremely High (>80%),Asia,South Asia
AFG,AFG.10_1,Afghanistan,Ghor,2080,opt,bws,Tot,4.528407006,422,4,Extremely High (>80%),Asia,South Asia
AFG,AFG.10_1,Afghanistan,Ghor,2080,bau,bws,Dom,4.768548749,402,4,Extremely High (>80%),Asia,South Asia
AFG,AFG.10_1,Afghanistan,Ghor,2080,bau,bws,Ind,0,2889,0,Low (<10%),Asia,South Asia
AFG,AFG.10_1,Afghanistan,Ghor,2080,bau,bws,Irr,4.628974416,469,4,Extremely High (>80%),Asia,South Asia
AFG,AFG.10_1,Afghanistan,Ghor,2080,bau,bws,Liv,4.682086196,408,4,Extremely High (>80%),Asia,South Asia
AFG,AFG.10_1,Afghanistan,Ghor,2080,bau,bws,Tot,4.650958597,466,4,Extremely High (>80%),Asia,South Asia
AFG,AFG.10_1,Afghanistan,Ghor,2080,pes,bws,Dom,4.784487079,352,4,Extremely High (>80%),Asia,South Asia
AFG,AFG.10_1,Afghanistan,Ghor,2080,pes,bws,Ind,0,2882.5,0,Low (<10%),Asia,South Asia
AFG,AFG.10_1,Afghanistan,Ghor,2080,pes,bws,Irr,4.635940368,426,4,Extremely High (>80%),Asia,South Asia
AFG,AFG.10_1,Afghanistan,Ghor,2080,pes,bws,Liv,4.677118116,351,4,Extremely High (>80%),Asia,South Asia
AFG,AFG.10_1,Afghanistan,Ghor,2080,pes,bws,Tot,4.648475186,414,4,Extremely High (>80%),Asia,South Asia
AFG,AFG.10_1,Afghanistan,Ghor,2030,opt,bws,One,4.21404642,370,4,Extremely High (>80%),Asia,South Asia
AFG,AFG.10_1,Afghanistan,Ghor,2030,bau,bws,One,4.171506299,357,4,Extremely High (>80%),Asia,South Asia
AFG,AFG.10_1,Afghanistan,Ghor,2030,pes,bws,One,4.221298162,348,4,Extremely High (>80%),Asia,South Asia
AFG,AFG.10_1,Afghanistan,Ghor,2050,opt,bws,One,4.109206812,388,4,Extremely High (>80%),Asia,South Asia
AFG,AFG.10_1,Afghanistan,Ghor,2050,bau,bws,One,4.272429628,408,4,Extremely High (>80%),Asia,South Asia
AFG,AFG.10_1,Afghanistan,Ghor,2050,pes,bws,One,4.284276092,384,4,Extremely High (>80%),Asia,South Asia
